ngram,frequency,percentage
in need of,547,0.1418
from poor families,189,0.0490
one of the,179,0.0464
as well as,142,0.0368
the united states,138,0.0358
the number of,129,0.0334
the most vulnerable,112,0.0290
those in need,110,0.0285
in the country,107,0.0277
some of the,97,0.0252
are in need,96,0.0249
according to the,96,0.0249
the u s,87,0.0226
need of a,83,0.0215
men and women,73,0.0189
per cent of,73,0.0189
poor families in,70,0.0181
in order to,68,0.0176
to poor families,68,0.0176
in the us,67,0.0174
part of the,67,0.0174
poor families and,66,0.0171
people in need,65,0.0169
for poor families,64,0.0166
the country s,63,0.0163
a number of,62,0.0161
the fact that,62,0.0161
of poor families,62,0.0161
out of the,58,0.0150
the end of,58,0.0150
a lot of,56,0.0145
there is no,55,0.0143
is in need,55,0.0143
the world s,54,0.0140
president donald trump,53,0.0137
of the country,53,0.0137
the united nations,53,0.0137
women and children,53,0.0137
of illegal immigrants,52,0.0135
in the world,52,0.0135
of the world,52,0.0135
he said the,52,0.0135
said in a,51,0.0132
as a result,50,0.0130
be able to,50,0.0130
there is a,50,0.0130
of the most,49,0.0127
for the disabled,49,0.0127
as part of,48,0.0124
more vulnerable to,47,0.0122
of thousands of,47,0.0122
is one of,47,0.0122
said that the,45,0.0117
those who are,45,0.0117
in the s,44,0.0114
the government to,43,0.0111
it s a,43,0.0111
illegal immigrants in,43,0.0111
in the united,43,0.0111
it is a,43,0.0111
the poor families,42,0.0109
living in the,42,0.0109
people who are,41,0.0106
in the past,41,0.0106
in a statement,41,0.0106
children from poor,41,0.0106
immigrants in the,41,0.0106
to be a,41,0.0106
more than a,40,0.0104
the middle east,40,0.0104
i do n't,40,0.0104
members of the,39,0.0101
in the city,39,0.0101
the rights of,39,0.0101
a year old,38,0.0099
according to a,38,0.0099
poor families to,38,0.0099
needs to be,37,0.0096
the disabled list,37,0.0096
most of the,37,0.0096
can not be,37,0.0096
for the homeless,36,0.0093
many of the,36,0.0093
a total of,35,0.0091
more than million,35,0.0091
because of the,35,0.0091
such as the,35,0.0091
at the same,35,0.0091
in the last,35,0.0091
due to the,34,0.0088
poor families are,34,0.0088
the women s,34,0.0088
the first time,33,0.0086
to deal with,33,0.0086
a group of,33,0.0086
across the country,33,0.0086
the same time,33,0.0086
he said that,32,0.0083
poor families with,32,0.0083
the ministry of,32,0.0083
